Serial,Event,Code County,County,Code District,District,Code Division,Division,Date (YMD),Comments,Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle
162,TRAFFIC ACCIDENT,27,MIGORI,2707,MIGORI,270701,AWENDO,01/09/2011 08:00:00 AM +0000,,Error,"Conductor slipped, fell and was run over by the rear wheel",KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,TRAFFIC ACCIDENT,2,BOMET,202,BOMET,20201,BOMET CENTRAL,01/09/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down by a matatu.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,TRAFFIC ACCIDENT,44,UASIN-GISHU,4417,UASIN GISHU,441705,SOY,01/09/2011 08:00:00 AM +0000,,Error,Matatu collided with pedal cyclist.,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300106,MAKADARA,01/09/2011 08:00:00 AM +0000,Passenger was alighting from Isuzu bus.,Error,Passenger fell and was overun by rear tyres while alighting,KPR,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,01/09/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down by a Mini bus.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,290403,KANGEMA,01/10/2011 08:00:00 AM +0000,,Hit and Run,Pedestrian was knocked down by a lorry.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,01/10/2011 08:00:00 AM +0000,,Error,Motor cycle knocked down by motor vehicle.,KPR,,,Motor vehicles and motor cycle were damaged.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311012,NAIVASHA,01/10/2011 08:00:00 AM +0000,,Error,Motor cyclist rammed into a lorry,KPR,,,Motor cycle was damaged.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,TRAFFIC ACCIDENT,10,KAKAMEGA,1004,KAKAMEGA,100407,SHINYALU,01/10/2011 08:00:00 AM +0000,,Error,Juvenile pedestrian was knocked down by a motor cycle.,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130105,LIMURU,01/11/2011 08:00:00 AM +0000,,Error,Juvenile pedestrian was knocked down.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,TRAFFIC ACCIDENT,28,MOMBASA,2805,MOMBASA,,,01/10/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down by a matatu.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311013,NAKURU MUNICIPALITY,01/11/2011 08:00:00 AM +0000,,Error,Driver did not give way hence loss of control,KPR,,,Motor vehicles and motor cycle were damaged.,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,01/11/2011 08:00:00 AM +0000,,Error,Driver did not give way at roundabout ,KPR,,,Motor vehicle was damaged.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,TRAFFIC ACCIDENT,27,MIGORI,2707,MIGORI,270701,AWENDO,01/11/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down by a matatu.,KPR,,,Motor vehicle was damaged on the bonnet and windscreen.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,TRAFFIC ACCIDENT,14,KILIFI,1401,KILIFI,140106,KALOLENI,01/13/2011 08:00:00 AM +0000,,Error,Driver lost control and container fell on the turn boy,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,TRAFFIC ACCIDENT,22,MACHAKOS,2204,MACHAKOS,220406,MATUNGULU,01/13/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down by a lorry.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,01/12/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down by a matatu.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,TRAFFIC ACCIDENT,6,GARISSA,601,GARISSA,,,01/11/2011 08:00:00 AM +0000,,Error,"The bus got a right tyre burst, lost control & veered off",KPR,,,,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
189,TRAFFIC ACCIDENT,16,KISII,1602,CENTRAL KISII,,,01/11/2011 08:00:00 AM +0000,,Error,Matatu collided with a motor cycle,KPR,,,Motor vehicle and motor cycle were damaged.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,TRAFFIC ACCIDENT,34,NYAMIRA,3408,NYAMIRA,340804,NYAMIRA,01/12/2011 08:00:00 AM +0000,The driver hit the kiosk which had 2 occupants.,Error,"Driver lost control of the vehicle, veered off the road.",KPR,,,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
192,TRAFFIC ACCIDENT,33,NAROK,3312,NAROK,331205,MULOT,01/13/2011 08:00:00 AM +0000,,Error,Motor cyclist knocked down by a car.,KPR,,,Motor vehicle and motor cycle were damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,TRAFFIC ACCIDENT,10,KAKAMEGA,1004,KAKAMEGA,100401,IKOLOMANI,01/12/2011 08:00:00 AM +0000,,Fault,"Brakes failed, driver lost control & veered off the road",KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
