Serial,Event,Code County,County,Code District,District,Code Division,Division,Date (YMD),Comments,Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle
594,TRAFFIC ACCIDENT,26,MERU,2609,MERU NORTH,260912,TIGANIA CENTRAL,02/21/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,TRAFFIC ACCIDENT,20,LAIKIPIA,2008,LAIKIPIA WEST,200805,NYAHURURU,02/22/2011 08:00:00 AM +0000,,Error,Head on collision,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,05/13/2011 07:00:00 AM +0000,Motor vehicle rammed into rear right side of a stationery trailer.,Error,Tyre burst hence driver lost control & rammed into m/v,KPR,,,Motor vehicles were damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300108,WESTLANDS,03/12/2011 08:00:00 AM +0000,,Negligence,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,TRAFFIC ACCIDENT,18,KITUI,1803,KITUI,,,02/22/2011 08:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,TRAFFIC ACCIDENT,39,TAITA-TAVETA,3906,TAITA TAVETA,390604,TAVETA,03/12/2011 08:00:00 AM +0000,Motor cyclist lost control after hitting loose soil,Error,Lost control,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,TRAFFIC ACCIDENT,22,MACHAKOS,2204,MACHAKOS,220401,CENTRAL MACHAKOS,02/23/2011 08:00:00 AM +0000,,Error,driver lost control and vehicle overturned,KPR,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
611,TRAFFIC ACCIDENT,17,KISUMU,1709,NYANDO,170904,NYANDO,03/12/2011 08:00:00 AM +0000,,Negligence,Lost control,KPR,,,Damaged vehicle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,TRAFFIC ACCIDENT,4,BUSIA,402,BUSIA,,,03/11/2011 08:00:00 AM +0000,A juvenile aged 2 years old died,Negligence,Lost control,KPR,,,,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0
612,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,02/23/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,02/23/2011 08:00:00 AM +0000,,Hit and Run,,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
616,TRAFFIC ACCIDENT,27,MIGORI,2706,KURIA,270603,MABERA,02/23/2011 08:00:00 AM +0000,,Error,Head on collision,KPR,,,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
617,TRAFFIC ACCIDENT,36,NYERI,3606,NYERI,360604,MATHIRA,03/13/2011 08:00:00 AM +0000,,Hit and Run,,KPR,,,Damaged motorcycle,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
618,TRAFFIC ACCIDENT,34,NYAMIRA,3408,NYAMIRA,340804,NYAMIRA,02/23/2011 08:00:00 AM +0000,,Error,driver lost control and knocked pedestrian,KPR,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,03/13/2011 08:00:00 AM +0000,,Negligence,Motor cyclist crashed head-on with a car,KPR,,,Damaged Motorcycle and motor vehicle,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
625,TRAFFIC ACCIDENT,26,MERU,2608,MERU CENTRAL,,,03/15/2011 07:00:00 AM +0000,,Negligence,Lost control,KPR,,,Damaged Lorry and motor vehicle,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
626,TRAFFIC ACCIDENT,14,KILIFI,1401,KILIFI,140106,KALOLENI,05/19/2011 07:00:00 AM +0000,,Error,Motor vehicles collided head on.,KPR,,,Motor vehicles were damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,TRAFFIC ACCIDENT,17,KISUMU,1705,KISUMU,,,03/15/2011 07:00:00 AM +0000,,Negligence,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,TRAFFIC ACCIDENT,15,KIRINYAGA,1502,KIRINYAGA,,,02/25/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,TRAFFIC ACCIDENT,18,KITUI,1803,KITUI,180304,KABATI,05/19/2011 07:00:00 AM +0000,,Error,"Driver lost control, veered off the road & over turned.",KPR,,,Motor vehicle was damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130707,THIKA MUNICIPALITY,03/15/2011 07:00:00 AM +0000,,Negligence,Lost control,KPR,,,,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
638,TRAFFIC ACCIDENT,18,KITUI,1803,KITUI,180301,CENTRAL KITUI,02/23/2011 08:00:00 AM +0000,,Error,,KPR,,,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
639,TRAFFIC ACCIDENT,22,MACHAKOS,2204,MACHAKOS,,,05/19/2011 07:00:00 AM +0000,,Error,Juvenile pedestrian was knocked down by a car.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,05/19/2011 07:00:00 AM +0000,Passenger was over run by the rear tyres.,Hit and Run,Passenger alighted from moving vehicle and was overun,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,05/19/2011 07:00:00 AM +0000,Passenger fell down while alighting from moving mini bus and was over run by the rear tyres.,Error,Passenger alighted from moving vehicle and was overun,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,TRAFFIC ACCIDENT,1,BARINGO,101,BARINGO,10103,KABARNET,05/18/2011 07:00:00 AM +0000,The lorry was by passing the pedal cyclist when they collided.,Error,Lorry collided with a bicycle.,KPR,,,Bicycle was damanged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,TRAFFIC ACCIDENT,36,NYERI,3606,NYERI,360604,MATHIRA,05/20/2011 07:00:00 AM +0000,,Hit and Run,Pedestrian was knocked down by an unknown car.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,TRAFFIC ACCIDENT,16,KISII,1603,GUCHA,,,03/15/2011 07:00:00 AM +0000,,Negligence,Lost control,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,TRAFFIC ACCIDENT,34,NYAMIRA,3408,NYAMIRA,340804,NYAMIRA,02/24/2011 08:00:00 AM +0000,,Error,Pedestrian walking along the road,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
651,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,05/20/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a canter.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,TRAFFIC ACCIDENT,16,KISII,1603,GUCHA,160306,OGEMBO,05/20/2011 07:00:00 AM +0000,,Error,Juvenile pedestrian was knocked down by a bus.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,TRAFFIC ACCIDENT,17,KISUMU,1705,KISUMU,,,05/20/2011 07:00:00 AM +0000,,Hit and Run,Pedestrian was knocked down by an unknown car.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311014,NJORO,04/01/2011 07:00:00 AM +0000,,Error,PEDESTRIAN KNOCKED DOWN,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,TRAFFIC ACCIDENT,12,KERICHO,1206,KERICHO,,,05/20/2011 07:00:00 AM +0000,Motor cyclist was overun by a lorry from the other direction.,Error,Motorcyclist rammed into a car and fell down.,KPR,,,Motor cycle and motor vehicle was damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311011,MOLO,02/24/2011 08:00:00 AM +0000,,Hit and Run,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311014,NJORO,02/24/2011 08:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,TRAFFIC ACCIDENT,16,KISII,1602,CENTRAL KISII,160202,KISII TOWNSHIP,03/14/2011 07:00:00 AM +0000,,Negligence,,KPR,,,Damage to motor vehicle and motorcycle,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
663,TRAFFIC ACCIDENT,36,NYERI,3606,NYERI,360603,KIENI WEST,02/26/2011 08:00:00 AM +0000,,Error,driver lost control and knocked pedestrian,KPR,,,,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
661,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,,,05/21/2011 07:00:00 AM +0000,,Error,Two motor vehicles collided head on.,KPR,,,Motor vehicles were damaged.,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
666,TRAFFIC ACCIDENT,22,MACHAKOS,2204,MACHAKOS,,,05/21/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a trailer.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,TRAFFIC ACCIDENT,2,BOMET,202,BOMET,20201,BOMET CENTRAL,03/15/2011 07:00:00 AM +0000,,Negligence,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,05/21/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a trailer.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,TRAFFIC ACCIDENT,26,MERU,2608,MERU CENTRAL,,,02/26/2011 08:00:00 AM +0000,,Error,driver lost control and vehicle rolled,KPR,,,,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
673,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,02/26/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,TRAFFIC ACCIDENT,1,BARINGO,101,BARINGO,,,03/15/2011 07:00:00 AM +0000,,Negligence,Lost control,KPR,,,Landcruiser and Lorry damaged,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
674,TRAFFIC ACCIDENT,34,NYAMIRA,3408,NYAMIRA,340804,NYAMIRA,02/26/2011 08:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311003,GILGIL,05/21/2011 07:00:00 AM +0000,,Error,Matatu lot,KPR,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,TRAFFIC ACCIDENT,31,NAKURU,,,,,05/21/2011 07:00:00 AM +0000,,Error,Matatu lost control and rammed on a parked m/v,KPR,,,Motor vehicles were damaged.,1,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0
676,TRAFFIC ACCIDENT,10,KAKAMEGA,1004,KAKAMEGA,,,05/21/2011 07:00:00 AM +0000,The pedestrian was trying to pull some sugar canes from the moving tractor.,Error,Tractor knocked down pedestrian.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681,TRAFFIC ACCIDENT,36,NYERI,3606,NYERI,360604,MATHIRA,11/14/2011 08:00:00 AM +0000,,Error,a lorry was hit at the rear by a pick-up ,KPR,,,both vehicles damaged,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
683,TRAFFIC ACCIDENT,23,MAKUENI,2305,MAKUENI,230510,MAKINDU,11/13/2011 08:00:00 AM +0000,,Error, a saloon car knocked down a pedestrian,KPR,,,Motor vehicles were damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,,,06/01/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a pick - up.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,TRAFFIC ACCIDENT,5,EMBU,501,EMBU,,,06/01/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a motor cycle.,KPR,,,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
686,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130706,RUIRU,03/16/2011 07:00:00 AM +0000,,Negligence,Lost control,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,TRAFFIC ACCIDENT,26,MERU,2609,MERU NORTH,260902,IGEMBE CENTRAL,06/01/2011 07:00:00 AM +0000,,Error,Two motor cycles collided head on,KPR,,,Motor cycles were damaged,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
689,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,06/01/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a saloon car,KPR,,,Motor vehicles were damaged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,TRAFFIC ACCIDENT,16,KISII,1602,CENTRAL KISII,160201,KEUMBU,06/01/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a motor cycle.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300106,MAKADARA,03/16/2011 07:00:00 AM +0000,,Hit and Run,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,03/17/2011 07:00:00 AM +0000,,Hit and Run,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,TRAFFIC ACCIDENT,44,UASIN-GISHU,4417,UASIN GISHU,441703,KESSES,06/01/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a bus,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,TRAFFIC ACCIDENT,3,BUNGOMA,301,BUNGOMA EAST,30105,KIMILILI,06/01/2011 07:00:00 AM +0000,Pedal cyclist was carrying a pillion passenger,Error,Pedal cyclist knocked down by a car,KPR,,,Bicycle was damaged,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,TRAFFIC ACCIDENT,9,KAJIADO,904,KAJIADO,,,06/01/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a canter,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,TRAFFIC ACCIDENT,10,KAKAMEGA,1003,BUTERE MUMIAS,100304,MUMIAS,06/01/2011 07:00:00 AM +0000,The pupil was stealing a ride then fell down and was crashed by the tractor,Error,A pupil was crushed by a tractor,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,TRAFFIC ACCIDENT,14,KILIFI,1404,MALINDI,140402,MALINDI,06/02/2011 07:00:00 AM +0000,,Error,Driver of motor cycle fell down while driving,KPR,,,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
703,TRAFFIC ACCIDENT,14,KILIFI,1404,MALINDI,140402,MALINDI,06/02/2011 07:00:00 AM +0000,,Error,Juvenile pedestrian was knocked down by a car,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
705,TRAFFIC ACCIDENT,35,NYANDARUA,3505,NYANDARUA,350507,OL KALOU,06/02/2011 07:00:00 AM +0000,The vehicle which hit the motor cycle did not stop,Hit and Run,Motor cycle was knocked down by vehicle,KPR,,,Motor cycle  was damaged,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
706,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130101,GITHUNGURI,03/17/2011 07:00:00 AM +0000,,Error,Lorry driver hit a pothole and lost control,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
709,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,,,03/17/2011 07:00:00 AM +0000,,Negligence,3 pedestrians knocked down,KPR,,,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
707,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,06/02/2011 07:00:00 AM +0000,,Error,Driver lost control and rolled several times,KPR,,,Motor vehicle was damaged,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
710,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300108,WESTLANDS,06/02/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a car,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,06/02/2011 07:00:00 AM +0000,,Hit and Run,Pedestrian was knocked down by a car,KPR,,,Motor vehicle was damaged,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
712,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,,,06/03/2011 07:00:00 AM +0000,,Error,Driver lost control and overturned and hit another m/v,KPR,,,Motor vehicles were damaged,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
713,TRAFFIC ACCIDENT,29,MURANGA,2903,MARAGUA,290302,KIGUMO,06/03/2011 07:00:00 AM +0000,,Error,Driver lost control and hit 3 juvenile pedestrians,KPR,,,Motor vehicle was damaged,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
714,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130707,THIKA MUNICIPALITY,03/17/2011 07:00:00 AM +0000,,Negligence,Lost control,KPR,,,Damaged motorvehicle,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
716,TRAFFIC ACCIDENT,5,EMBU,501,EMBU,50101,CENTRAL EMBU,03/17/2011 07:00:00 AM +0000,,Error,Tyre burst,KPR,,,,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
717,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300106,MAKADARA,11/17/2011 08:00:00 AM +0000,,Negligence,Car knocked down a motorcycle,,,,Damaged Motorcycle and motor vehicle,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
722,TRAFFIC ACCIDENT,27,MIGORI,2707,MIGORI,,,03/17/2011 07:00:00 AM +0000,,Negligence,Lost control,KPR,,,Damaged Motorcycle and motor vehicle,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300104,KASARANI,03/29/2011 07:00:00 AM +0000,,Hit and Run,,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
724,TRAFFIC ACCIDENT,1,BARINGO,107,KOIBATEK,10701,ELDAMA RAVINE,03/29/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
719,TRAFFIC ACCIDENT,35,NYANDARUA,3505,NYANDARUA,,,06/03/2011 07:00:00 AM +0000,,Error,Pedestrian was knocked down by a matatu,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300104,KASARANI,03/18/2011 07:00:00 AM +0000,,Negligence,Pedestrian jumped on a moving vehicle,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300104,KASARANI,03/18/2011 07:00:00 AM +0000,,Negligence,Failing to maintain the lane leading to a head on crash,KPR,,,Damaged 2 vehicles,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
735,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,06/03/2011 07:00:00 AM +0000,,Error,Two motor vehicles collided,KPR,,,Motor vehicles were damaged,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
737,TRAFFIC ACCIDENT,10,KAKAMEGA,1003,BUTERE MUMIAS,100304,MUMIAS,03/29/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
738,TRAFFIC ACCIDENT,35,NYANDARUA,3505,NYANDARUA,350505,NORTH KINANGOP,03/20/2011 07:00:00 AM +0000,,Negligence,hand cart and operator knocked down,KPR,,,Damaged vehicle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130707,THIKA MUNICIPALITY,03/20/2011 07:00:00 AM +0000,,Hit and Run,Pedestrian hit and Body found on the road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,TRAFFIC ACCIDENT,38,SIAYA,3801,BONDO,380101,BONDO,06/03/2011 07:00:00 AM +0000,The vehicle hit a stone while overtaking another m/v then lost control and rolled several times before landing on its side,Error,Driver lost control and rolled while overtaking another m/v,KPR,,,Motor vehicle was damaged,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
740,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130103,KIKUYU,03/27/2011 07:00:00 AM +0000,,Hit and Run,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,TRAFFIC ACCIDENT,26,MERU,2609,MERU NORTH,260912,TIGANIA CENTRAL,03/19/2011 07:00:00 AM +0000,,Error,Lost control,KPR,,,Damaged Tractor,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
750,TRAFFIC ACCIDENT,23,MAKUENI,2305,MAKUENI,230514,MTITO ANDEI,03/28/2011 07:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300106,MAKADARA,03/28/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300104,KASARANI,03/27/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,03/19/2011 07:00:00 AM +0000,,Negligence,Pedestrian knocked down,KPR,,,,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
756,TRAFFIC ACCIDENT,17,KISUMU,1705,KISUMU,170503,MASENO,03/19/2011 07:00:00 AM +0000,,Negligence,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,TRAFFIC ACCIDENT,17,KISUMU,1709,NYANDO,170904,NYANDO,03/19/2011 07:00:00 AM +0000,,Negligence,Pedestrian jumped on a moving vehicle,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758,TRAFFIC ACCIDENT,44,UASIN-GISHU,4417,UASIN GISHU,441703,KESSES,03/18/2011 07:00:00 AM +0000,,Negligence,Failing to maintain the lane leading to a crash,KPR,,,,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
759,TRAFFIC ACCIDENT,10,KAKAMEGA,1005,LUGARI,100502,LUGARI,03/17/2011 07:00:00 AM +0000,,Negligence,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300105,KIBERA,03/28/2011 07:00:00 AM +0000,,Hit and Run,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311003,GILGIL,03/27/2011 07:00:00 AM +0000,,Error,Pedestrian walking along the road,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
762,TRAFFIC ACCIDENT,10,KAKAMEGA,1003,BUTERE MUMIAS,100304,MUMIAS,03/27/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130101,GITHUNGURI,03/27/2011 07:00:00 AM +0000,,Error,driver lost control and vehicle overturned,KPR,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
765,TRAFFIC ACCIDENT,15,KIRINYAGA,1502,KIRINYAGA,,,03/27/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130707,THIKA MUNICIPALITY,03/20/2011 07:00:00 AM +0000,,Negligence,Body found on the side of the road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130103,KIKUYU,03/27/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
768,TRAFFIC ACCIDENT,28,MOMBASA,2805,MOMBASA,280504,LIKONI,03/20/2011 07:00:00 AM +0000,A 3 year old died.,Hit and Run,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130702,GATUNDU,03/26/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
775,TRAFFIC ACCIDENT,45,VIHIGA,4508,VIHIGA,450802,LUANDA,03/26/2011 07:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,TRAFFIC ACCIDENT,15,KIRINYAGA,1502,KIRINYAGA,,,03/25/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
778,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,,,03/25/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130707,THIKA MUNICIPALITY,03/25/2011 07:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,TRAFFIC ACCIDENT,28,MOMBASA,2805,MOMBASA,280502,ISLAND,03/18/2011 07:00:00 AM +0000,,Negligence,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
