290184118	20140319	201403	2014	2014.2164	BEL	BELGIUM	BEL								RUS	RUSSIA	RUS								1	163	163	16	4	-8.0	2	1	2	2.31388329979879	4	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	1	France	FR	FR	46	2	FR	1	France	FR	FR	46	2	FR	20140320	http://www.gulf-times.com/uk-europe/183/details/385386/west,-russia-trading-barbs-and-sanctions
290184119	20140319	201403	2014	2014.2164	BEL	BRUSSELS	BEL								RUS	MOSCOW	RUS								1	163	163	16	4	-8.0	6	1	6	2.31388329979879	1	France	FR	FR	46	2	FR	1	France	FR	FR	46	2	FR	1	France	FR	FR	46	2	FR	20140320	http://www.gulf-times.com/uk-europe/183/details/385386/west,-russia-trading-barbs-and-sanctions
290184128	20140319	201403	2014	2014.2164	BHR	BAHRAIN	BHR																		1	1723	172	17	4	-5.0	4	1	4	3.87096774193548	1	Bahrain	BA	BA	26	50.55	BA	0							1	Bahrain	BA	BA	26	50.55	BA	20140320	http://www.gulf-daily-news.com/NewsDetails.aspx?storyid=372999&c=rVINFvg90K52JLi0qcgSzKnwNtytIFOw6UAyDhGiyWE&mkt=en-us
290184152	20140319	201403	2014	2014.2164	BUS	BUSINESS						BUS			GBR	BRITAIN	GBR								1	141	141	14	3	-6.5	10	1	10	1.48514851485149	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20140320	http://uk.finance.yahoo.com/news/hitachi-move-rail-business-over-britain-011939331.html
290184168	20140319	201403	2014	2014.2164	BWAREF	BOTSWANA	BWA					REF			COP	POLICE						COP			0	173	173	17	4	-5.0	10	1	10	1.03305785123967	1	Botswana	BC	BC	-22	24	BC	1	Botswana	BC	BC	-22	24	BC	1	Botswana	BC	BC	-22	24	BC	20140320	http://www.sundaystandard.info/article.php?NewsID=19467&GroupID=1
290184235	20140319	201403	2014	2014.2164	COP	POLICE						COP													1	141	141	14	3	-6.5	3	1	3	0.561797752808989	4	Colombo, Western, Sri Lanka	CE	CE36	6.93194	79.8478	-2214877	0							4	Colombo, Western, Sri Lanka	CE	CE36	6.93194	79.8478	-2214877	20140320	http://colombogazette.com/2014/03/20/police-to-arrest-students-over-demo/
290184236	20140319	201403	2014	2014.2164	COP	POLICE						COP													1	141	141	14	3	-6.5	2	1	2	0.561797752808989	4	Colombo, Western, Sri Lanka	CE	CE36	6.93194	79.8478	-2214877	0							4	Kelaniya, Western, Sri Lanka	CE	CE36	6.9553	79.922	-2223252	20140320	http://colombogazette.com/2014/03/20/police-to-arrest-students-over-demo/
290184237	20140319	201403	2014	2014.2164	COP	POLICE						COP													1	173	173	17	4	-5.0	2	1	2	0.605449041372351	4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	45	34	-1043950	0							4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	45	34	-1043950	20140320	http://voiceofrussia.com/news/2014_03_20/Simferopol-shooter-detained-Crimean-1st-deputy-PM-8213/
290184243	20140319	201403	2014	2014.2164	COP	POLICE						COP													0	192	192	19	4	-9.5	10	1	10	0.324675324675325	0							0							0							20140320	http://www.centralwesterndaily.com.au/story/2161483/breaking-news-police-arrest-woman-in-relation-to-clinton-street-house-fire/?cs=103
290184244	20140319	201403	2014	2014.2164	COP	POLICE						COP													1	193	193	19	4	-10.0	2	1	2	0.605449041372351	4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	45	34	-1043950	0							4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	45	34	-1043950	20140320	http://voiceofrussia.com/news/2014_03_20/Simferopol-shooter-detained-Crimean-1st-deputy-PM-8213/
290184246	20140319	201403	2014	2014.2164	COP	POLICE						COP			AUS	AUSTRALIA	AUS								1	173	173	17	4	-5.0	12	1	12	0.858369098712446	4	Merrylands, New South Wales, Australia	AS	AS02	-33.8333	150.983	-1587107	4	Merrylands, New South Wales, Australia	AS	AS02	-33.8333	150.983	-1587107	4	Merrylands, New South Wales, Australia	AS	AS02	-33.8333	150.983	-1587107	20140320	http://www.abc.net.au/news/2014-03-21/man-charged-over-fire-bombing-27linked27-to-bikie-feud/5336162
